iter	Recall	Logloss
691	0.98	0.2580798566
692	0.98	0.257831267
693	0.98	0.2578300794
694	0.98	0.2576725113
695	0.98	0.2573051402
696	0.98	0.2572025603
697	0.98	0.2570713455
698	0.9833333333	0.2567199371
699	0.9833333333	0.256375794
700	0.9833333333	0.2563746459
701	0.9833333333	0.2560877892
702	0.9833333333	0.255929133
703	0.98	0.2558286621
704	0.98	0.2557983656
705	0.98	0.2556946203
706	0.9833333333	0.2554307739
707	0.9833333333	0.255219806
708	0.9866666667	0.2547422439
709	0.9866666667	0.2546368177
710	0.9866666667	0.2542288487
711	0.9866666667	0.2540676516
712	0.9866666667	0.2540067701
713	0.9866666667	0.2539987651
714	0.9866666667	0.2537343302
715	0.9866666667	0.2534988335
716	0.9833333333	0.2533183098
717	0.9833333333	0.2533178897
718	0.9833333333	0.2531825174
719	0.9833333333	0.2528675902
720	0.9833333333	0.2526571899
721	0.9833333333	0.2523911816
722	0.98	0.2518852124
723	0.98	0.2518707146
724	0.9833333333	0.2514973385
725	0.9833333333	0.251365295
726	0.9833333333	0.2511204537
727	0.9833333333	0.2510080194
728	0.9833333333	0.2509255844
729	0.9833333333	0.2507331932
730	0.9833333333	0.2504258062
731	0.9833333333	0.2503622637
732	0.9833333333	0.2502320532
733	0.9833333333	0.2500922275
734	0.9866666667	0.2496931122
735	0.9866666667	0.2491528202
736	0.9833333333	0.2489855911
737	0.9833333333	0.2487984969
738	0.9833333333	0.2485942571
739	0.9833333333	0.2484870025
740	0.9833333333	0.2482573057
741	0.9833333333	0.248056823
742	0.9833333333	0.2478774638
743	0.9833333333	0.2477028748
744	0.9866666667	0.2473719175
745	0.9866666667	0.2472122106
746	0.9866666667	0.2469538869
747	0.9866666667	0.2467101025
748	0.9866666667	0.2466059745
749	0.9866666667	0.2465197927
750	0.9833333333	0.2462796042
751	0.9833333333	0.2460577804
752	0.9833333333	0.2457016285
753	0.9833333333	0.245701624
754	0.9833333333	0.2455106063
755	0.9833333333	0.2452168985
756	0.9833333333	0.2452168745
757	0.9833333333	0.2448207583
758	0.9833333333	0.2443857804
759	0.9833333333	0.2442244867
760	0.9833333333	0.2440822997
761	0.9833333333	0.2439620463
762	0.9833333333	0.2439435399
763	0.9833333333	0.2436052019
764	0.9833333333	0.2435324585
765	0.9833333333	0.2433318625
766	0.9833333333	0.2430122845
767	0.9833333333	0.2428338072
768	0.9866666667	0.2424193838
769	0.9866666667	0.2421839012
770	0.9866666667	0.2420547896
771	0.9866666667	0.2419353747
772	0.9866666667	0.2419353554
773	0.9866666667	0.241693702
774	0.9866666667	0.2415513992
775	0.9866666667	0.2413312147
776	0.9866666667	0.2411181373
777	0.9866666667	0.240911061
778	0.9866666667	0.2406366776
779	0.9866666667	0.2406061729
780	0.9866666667	0.2402930664
781	0.9866666667	0.240069381
782	0.9866666667	0.2399036442
783	0.9866666667	0.2398630231
784	0.9866666667	0.2394897195
785	0.9866666667	0.2392788952
786	0.9866666667	0.2390618046
787	0.9866666667	0.2386544773
788	0.9866666667	0.2382053196
789	0.9866666667	0.2381141655
790	0.9866666667	0.2379085608
791	0.9866666667	0.2376570786
792	0.9866666667	0.2373980507
793	0.9866666667	0.2370735348
794	0.9866666667	0.2369303049
795	0.9866666667	0.2367222882
796	0.9866666667	0.2367221894
797	0.9866666667	0.2366903581
798	0.9866666667	0.2366897693
799	0.9866666667	0.2363162119
800	0.9866666667	0.2362841095
801	0.9866666667	0.2359856302
802	0.9866666667	0.2358916259
803	0.9866666667	0.2356951324
804	0.9866666667	0.2353486809
805	0.9866666667	0.2352068488
806	0.9866666667	0.235006036
807	0.9866666667	0.2348114477
808	0.9866666667	0.234811425
809	0.9866666667	0.2348114235
810	0.9866666667	0.2347017644
811	0.9866666667	0.234444616
812	0.9866666667	0.2342680798
813	0.9866666667	0.2339540614
814	0.9866666667	0.233785814
815	0.9866666667	0.2337704122
816	0.9866666667	0.2333721644
817	0.9866666667	0.2331769482
818	0.9866666667	0.2331768794
819	0.9866666667	0.2330942419
820	0.9866666667	0.2330519217
821	0.9866666667	0.2329616406
822	0.9866666667	0.2328181854
823	0.9866666667	0.232431037
824	0.9866666667	0.2323501146
825	0.9866666667	0.2322470648
826	0.9866666667	0.2321093663
827	0.9866666667	0.2319268345
828	0.9866666667	0.2317776191
829	0.9866666667	0.2314163419
830	0.9866666667	0.2312676153
831	0.99	0.2310764296
832	0.99	0.2309677072
833	0.99	0.2308490609
834	0.99	0.2306564159
835	0.99	0.2306409928
836	0.99	0.2303187767
837	0.99	0.2303128945
838	0.99	0.230206144
839	0.99	0.2301196536
840	0.99	0.2299801122
841	0.99	0.2296835438
842	0.99	0.2296835216
843	0.99	0.2294595426
844	0.99	0.2292259192
845	0.99	0.2290188197
846	0.99	0.2288446053
847	0.99	0.228716042
848	0.99	0.2287090423
849	0.99	0.2284599313
850	0.99	0.2281998417
851	0.99	0.2280058084
852	0.99	0.2278017767
853	0.99	0.2276017608
854	0.99	0.2271758852
855	0.99	0.2271430097
856	0.99	0.2270312935
857	0.99	0.2269963448
858	0.99	0.2267707659
859	0.99	0.226604264
860	0.99	0.2264452116
861	0.99	0.2263454269
862	0.99	0.2263009692
863	0.9933333333	0.2261334972
864	0.9933333333	0.2257992759
865	0.9933333333	0.2255590681
866	0.9933333333	0.2254517909
867	0.9933333333	0.2253806564
868	0.9933333333	0.2253114655
869	0.9933333333	0.2251207964
870	0.9933333333	0.2248967528
871	0.9933333333	0.2246005824
872	0.9933333333	0.2242494338
873	0.9933333333	0.2241986501
874	0.9933333333	0.2241707094
875	0.9933333333	0.2239562003
876	0.9933333333	0.2239561485
877	0.9933333333	0.2237323491
878	0.9933333333	0.223555684
879	0.9933333333	0.2235343354
880	0.9933333333	0.2235343112
881	0.9933333333	0.2235271181
882	0.9933333333	0.2234868995
883	0.9933333333	0.2234367267
884	0.9933333333	0.2232490594
885	0.9933333333	0.2231602784
886	0.9933333333	0.2228899714
887	0.9933333333	0.2227378423
888	0.9933333333	0.2225982753
889	0.9933333333	0.2224842272
890	0.9933333333	0.222449694
891	0.9933333333	0.2224496125
892	0.9933333333	0.2223767557
893	0.9933333333	0.2221366873
894	0.9933333333	0.2220144998
895	0.9933333333	0.2218096895
896	0.9933333333	0.2216309472
897	0.9933333333	0.2214476506
898	0.9933333333	0.2212951253
899	0.9933333333	0.2211990307
900	0.9933333333	0.221050323
901	0.9933333333	0.2208384569
902	0.9933333333	0.2207942457
903	0.9933333333	0.2205398395
904	0.9933333333	0.220509692
905	0.9933333333	0.2203181479
906	0.9933333333	0.2203104407
907	0.9933333333	0.2203005765
908	0.9933333333	0.2202260805
909	0.9933333333	0.2199311061
910	0.9933333333	0.2199113892
911	0.9933333333	0.219739923
912	0.9933333333	0.2196230005
913	0.9933333333	0.2192833711
914	0.9933333333	0.2191308894
915	0.9933333333	0.2191308835
916	0.9933333333	0.2191308614
917	0.9933333333	0.2188854246
918	0.9933333333	0.2188245843
919	0.9933333333	0.2185963314
920	0.9933333333	0.2185908905
921	0.9933333333	0.2184634905
922	0.9933333333	0.2183107186
923	0.9933333333	0.2182157758
924	0.9933333333	0.2181407061
925	0.9933333333	0.2180571398
926	0.9933333333	0.2180265113
927	0.9933333333	0.2177316641
928	0.9933333333	0.2177249518
929	0.9933333333	0.2174886412
930	0.9933333333	0.2173683951
931	0.9933333333	0.2170785634
932	0.9933333333	0.2168947053
933	0.9933333333	0.216755908
934	0.9933333333	0.2167134649
